CatalogNo,SongNumber,RecordingDay,RecordingMonth,RecordingYear,RecordingTime,RecordingTimeSeconds,Latitude,Longitude,TimeOfDay,PlaybackUsed,Duration of Song Bout (log(ms)),Mean Syllable Duration (log(ms)),Mean Inter-Syllable Silence Duration (log(ms)),Total Number of Syllables (log(number))
XC313467,b4of9,23,4,2016,7:52:00,28320,41.8217,-88.0513,after sunrise,,7.687808011,3.853182505,3.462939522,3.33220451
XC313468,3of7,23,4,2016,7:55:00,28500,41.8217,-88.0513,after sunrise,,7.457252014,4.323747144,3.758401286,2.708050201
XC313469,b2of4,23,4,2016,10:56:00,39360,41.8217,-88.0513,after sunrise,,7.978033412,3.701857049,3.028293289,3.871201011
XC313880,b1of2,13,4,2016,12:30:00,45000,32.5832,-108.4276,after noon,,8.01111817,2.958714646,3.02821483,4.33073334
XC314922,b3of6,19,4,2016,10:00:00,36000,40.8918,-91.0756,after sunrise,,7.498008036,3.282363374,3.304475271,3.526360525
XC315096,b4of8,4,5,2016,14:30:00,52200,34.1609,-89.8923,after noon,,7.648331153,4.61827081,4.17438727,2.564949357
XC320337,b6of6,3,6,2016,10:30:00,37800,42.7063,-83.4912,after sunrise,,7.927461779,3.263679102,3.283414346,3.970291914
XC320440,b7of13,5,6,2016,5:04:00,18240,44.8591,-92.7919,before sunrise,,7.819464102,4.443780895,3.880126376,2.944438979
XC321209,b3of6,14,5,2016,9:45:00,35100,32.9846,-116.5818,after sunrise,,7.632923938,3.322584183,2.921624301,3.80666249
XC322656,b8of21,31,5,2015,7:14:00,26040,31.7772,-109.3121,after sunrise,,7.749048754,3.57656036,2.85399348,3.784189634
XC322659,b15of16,23,4,2015,7:32:00,27120,31.906,-109.1543,after sunrise,,7.551945615,2.929096749,3.024096033,3.891820298
XC324926,b3of4,21,4,2013,7:00:00,25200,35.1084,-80.9483,after sunrise,,7.083707387,3.448979227,3.827029793,2.772588722
XC325097,b2of3,29,6,2016,12:00:00,43200,42.7335,-83.0753,after sunrise,,7.815373593,3.390940881,2.696536359,4.025351691
XC325446,b4of5_bird1,14,5,2016,5:00:00,18000,41.577935,-74.947005,before sunrise,,8.042122779,4.122809341,3.328596569,3.555348061
XC325938,b1of1,23,6,2016,8:30:00,30600,50.9619,-118.1997,after sunrise,,8.892755311,3.811997066,2.677098151,4.804021045
XC326776,b2of6,4,6,2016,12:00:00,43200,41.186809,-73.892262,after sunrise,,7.384088043,3.284295792,3.532589736,3.295836866
XC327741,b4of5,22,5,2016,10:30:00,37800,44.3963,-83.6242,after sunrise,,7.97923017,3.515847944,3.228996129,3.912023005
XC359412,b2of3,3,6,2014,7:00:00,25200,39.2732,-74.8938,after sunrise,,7.764531884,4.401263964,3.801751371,2.944438979
XC363865,b2of8,10,4,2017,10:00:00,36000,36.0207,-78.7277,after sunrise,,7.884409161,4.098168659,3.480018342,3.36729583
XC364591,b5of8,14,4,2017,11:00:00,39600,35.8174,-78.7193,after sunrise,,7.410740725,4.143831059,3.593718073,2.833213344
XC373249,b2of3,30,3,2017,9:00:00,32400,34.6385,-113.7545,after sunrise,,7.72016588,3.78645464,3.038680857,3.555348061
XC376219,b1of2,9,6,2017,10:00:00,36000,40.616,-74.3499,after sunrise,,7.508508658,4.269530936,3.813575635,2.772588722
XC376766,b2of6,23,6,2017,8:00:00,28800,19.8279,-99.7886,after sunrise,,7.197102631,3.790662149,4.008109884,2.63905733
XC376768,b1of1,23,6,2017,8:30:00,30600,19.8279,-99.7886,after sunrise,,7.596288658,3.977453985,3.883379407,2.995732274
XC378424,b2of6,13,6,2000,6:36:00,23760,39.6788,-120.3144,after sunrise,,7.764531884,4.01959306,3.043766294,3.433987204
XC47096,b2of6,17,4,2010,6:00:00,21600,42.91164591,-88.47706532,before sunrise,,7.921489556,4.258439752,3.483585416,3.295836866
XC52370,b1of1,7,4,2009,8:30:00,30600,35.849,-84.151,after sunrise,,7.554775413,3.916246877,4.777825162,2.48490665
XC52371,b2of4,18,6,2009,9:30:00,34200,35.8589,-84.0948,after sunrise,,7.488106966,3.968066903,3.771361187,2.944438979
XC61635,b2of2,18,5,2010,9:55:00,35700,40.83,-121.385,after sunrise,,7.690569039,3.172840483,2.645125526,4.060443011
XC6244,b3of3,11,6,2006,8:20:00,30000,24.8179,-100.06485,after sunrise,,8.268324749,3.470190253,3.776577907,3.951243719
XC72165,b8of14,12,5,2006,8:40:00,31200,32.04,-115.905,after sunrise,,8.227774161,2.91566437,2.85396894,4.65396035
XC76506,b1of2,23,4,2011,6:54:00,24840,43.082,-96.166,after sunrise,,7.790078776,3.8818814,3.145958545,3.526360525
XC77992,b5of6,14,5,2011,13:23:00,48180,43.328,-112.035,after noon,,7.768029802,3.883804108,3.070321131,3.526360525
XC79970,b2of4,5,6,2011,7:17:00,26220,44.343,-93.105,after sunrise,,7.900183668,3.821716161,3.105478761,3.688879454
XC81357,b4of4,18,6,2011,9:15:00,33300,35.6959,-85.0909,after sunrise,,8.388493644,3.850165376,4.256248402,3.63758616
XC82109,b1of6,29,6,2011,9:45:00,35100,35.5984,-83.8098,after sunrise,,7.609594731,4.249911472,4.089748478,2.772588722
XC83733,b2of7,5,7,2011,5:55:00,21300,44.0489,-78.2787,after sunrise,,8.020969434,3.821638944,3.112071266,3.80666249
