CatalogNo,RecordingDay,RecordingMonth,RecordingYear,RecordingTime,RecordingTimeSeconds,Latitude,Longitude,Duration of Song Bout (log(ms)),Mean Syllable Duration (log(ms)),Mean Inter-Syllable Silence Duration (log(ms)),Total Number of Syllables (log(number))
XC81357,18,6,2011,9:15:00,33300,35.6959,-85.0909,8.388493644,3.850165376,4.256248402,3.63758616
XC79970,5,6,2011,7:17:00,26220,44.343,-93.105,7.900183668,3.821716161,3.105478761,3.688879454
XC76506,23,4,2011,6:54:00,24840,43.082,-96.166,7.790078776,3.8818814,3.145958545,3.526360525
XC72165,12,5,2006,8:40:00,31200,32.04,-115.905,8.227774161,2.91566437,2.85396894,4.65396035
XC70985,,4,2010,,,29.5826,-99.7309,7.803260043,4.221542811,3.811438168,3.091042453
XC52371,18,6,2009,9:30:00,34200,35.8589,-84.0948,7.488106966,3.968066903,3.771361187,2.944438979
XC31306,17,6,2008,,,43.1256,-82.6098,7.635073816,3.37066766,3.087066305,3.713572067
XC31305,3,6,2008,,,43.1256,-82.6098,7.924480126,3.832773634,3.448871133,3.583518938
XC1256,,6,2000,,,45.919,-77.583,7.949545232,4.066022502,3.043982393,3.583518938
XC326776,4,6,2016,12:00:00,43200,41.186809,-73.892262,7.384088043,3.284295792,3.532589736,3.295836866
XC302537,14,7,2013,6:00:00,21600,34.0242,-107.1338,7.502046318,3.355849562,3.555671948,3.36729583
XC289051,18,5,2013,10:05:00,36300,35.0913,-113.8886,7.723260551,3.214752108,2.849585812,3.988984047
XC253975,6,4,2015,7:55:00,28500,32.377,-93.7157,7.417628068,4.026592687,3.193802187,3.044522438
XC236651,19,4,2015,10:00:00,36000,45.5138,-73.5347,7.868138841,2.940934517,3.10177283,4.158883083
XC210094,30,3,2013,10:29:00,37740,19.8332,-101.7836,7.554941622,3.558050864,3.31081332,3.433987204
XC138703,17,6,2013,6:39:00,23940,46.0107,-112.8177,8.078122054,3.680911284,2.95860226,4.007333185
XC111473,12,7,2011,7:32:00,27120,31.883,-109.207,7.458533949,3.189016448,3.547103992,3.401197382
XC82109,29,6,2011,9:45:00,35100,35.5984,-83.8098,7.609594731,4.249911472,4.089748478,2.772588722
XC52370,7,4,2009,8:30:00,30600,35.849,-84.151,7.554775413,3.916246877,4.777825162,2.48490665
XC16984,7,5,2007,,,41.93338,-83.54994,7.910951562,3.481129083,3.406719207,3.784189634
XC16983,7,5,2007,,,41.93338,-83.54994,8.053695338,4.057976918,4.034173003,3.33220451
XC308415,24,3,2016,8:00:00,28800,32.4368,-85.3914,7.891556303,3.597368632,2.585764681,3.988984047
XC253942,20,6,2015,10:00:00,36000,39.0346,-119.4223,7.677716518,3.676099727,3.12967208,3.555348061
XC6244,11,6,2006,8:20:00,30000,24.8179,-100.06485,8.268324749,3.470190253,3.776577907,3.951243719
XC17172,16,7,2007,,,41.93338,-83.54994,7.832392038,3.771274182,3.877938989,3.33220451
XC376768,23,6,2017,8:30:00,30600,19.8279,-99.7886,7.596288658,3.977453985,3.883379407,2.995732274
22880,18,4,1956,,,36.380732,-121.561023,7.741492217,2.915773547,2.910534639,4.143134726
22882,2,6,1956,,,36.196548,-119.343599,7.851846449,3.018050797,2.996991244,4.158883083
64241,17,7,1958,,,51.253775,-85.323214,7.993480654,4.46466061,3.64008929,3.17805383
64243,22,7,1958,,,43.875446,-79.857782,8.257517373,3.433203789,3.262769146,4.219507705
64244,5,7,1960,,,53.816669,-89.659507,7.940544271,3.656776209,2.746017206,3.951243719
15431,17,5,1961,,,35.330126,-111.737394,8.346837848,3.691936003,3.015999391,4.248495242
15432,27,5,1961,,,37.744959,-119.584531,7.580861709,3.225342106,2.881514304,3.828641396
15435,12,6,1963,12:10:00,43800,44.659745,-84.129089,7.864852767,3.78725132,3.068327386,3.688879454
15437,23,6,1963,7:40:00,27600,47.840854,-83.403537,7.859229281,3.501071751,3.110058686,3.850147602
15438,25,6,1963,5:15:00,18900,48.1533,-80.031136,7.899712858,3.416745398,3.082146938,3.951243719
15439,13,5,1963,11:15:00,40500,35.641389,-83.58208,7.875644021,3.713787125,2.884018446,3.80666249
15441,12,4,1964,10:15:00,36900,40.903366,-84.38409,7.16816403,3.325835062,3.2220454,3.218875825
15442,24,4,1964,9:00:00,32400,40.903366,-84.38409,6.97674815,4.290676856,3.289349082,2.397895273
15443,6,6,1964,5:15:00,18900,44.517158,-83.962551,7.834279187,3.634088415,3.317900522,3.663561646
26263,24,4,1976,6:05:00,21900,39.6,-82.6,7.720870056,3.770928891,3.411025471,3.433987204
26272,24,4,1976,8:25:00,30300,39.6,-82.6,6.860963117,4.355894494,3.85558462,2.079441542
26284,15,5,1976,7:50:00,28200,39.6,-82.6,7.45523422,3.808717989,3.336336748,3.17805383
31,10,6,1977,14:05:00,50700,49.48333,-123.33333,7.959575406,3.2220454,3.100854666,4.110873864
40677,5,5,1985,7:30:00,27000,43.83251,-121.261654,7.754236479,3.264929531,2.945634065,3.951243719
39874,20,4,1986,6:40:00,24000,42.43333,-123.03333,7.813835329,3.029000439,3.00678211,4.110873864
38506,8,6,1987,6:45:00,24300,42.26667,-76.63333,7.550110293,4.033444329,3.952105231,2.890371758
38507,8,6,1987,7:00:00,25200,42.2666667,-76.65,7.289664694,4.514294603,3.830020707,2.397895273
39720,22,7,1987,19:25:00,69900,46,-102,7.898416987,3.992170365,3.774199219,3.33220451
49616,9,6,1987,8:10:00,29400,42.25,-76.66667,8.134141678,2.909507679,3.026454172,4.477336814
111029,11,4,1988,,,38.083403,-122.763304,7.575828822,3.115964237,3.244265059,3.713572067
126472,27,4,1988,,,36.778261,-119.417932,7.372985629,3.182202431,3.092230102,3.555348061
44647,11,6,1989,,,39.32306,-120.59917,7.846149134,3.474501932,3.063936812,3.871201011
63030,23,6,1991,5:00:00,18000,45.86667,-117.967,8.450985553,3.259452287,3.267776389,4.49980967
